client_id,name,registration_date,a_b_group,loyalty_tier,total_visits,last_visit
bcd69a9b-093d-44ce-8b29-19b7c0bf3eda,Elizabeth Fowler,2024-07-10 07:34:09.388437,treatment,Silver,16,2024-08-22 23:20:07.212675
4fa2f610-5c1e-4f6c-ba86-c06dbbc8acf8,Kimberly Osborne,2024-05-13 21:18:06.640188,test,Silver,26,2024-05-14 02:00:37.579419
cbde2d38-9e8a-4d11-ad26-33c4fa2564d1,Alec Hickman,2025-01-23 08:43:33.631781,treatment,Silver,11,2025-04-07 01:00:17.154741
3716f0b6-6294-40d0-9567-5315aa9fbc31,,2023-12-03 02:35:09.143205,test,Silver,18,2024-01-01 09:48:59.291560
d693f58d-4edb-4c6c-8b98-dded11753f11,Theresa Miller,2024-04-11 11:32:50.498800,treatment,Bronze,5,2024-05-07 11:14:48.259119
5cf53117-e0e0-4d7d-862a-c24729caab87,Pamela Anderson,2024-04-03 15:49:06.062228,treatment,Bronze,11,2024-10-31 09:30:54.704677
8771e276-ed28-45f4-9e67-5926ddc96265,Shane Henderson,2023-09-24 04:32:25.108819,test,Silver,27,2024-07-30 16:44:10.205428
2d00fab6-4de9-4eda-b0db-4bde7730e446,,2024-10-06 16:11:49.090940,treatment,Bronze,14,2024-11-15 08:35:26.461665
fb9f889d-8928-47e8-b059-d238405e9b14,Zachary Santos,2024-03-07 11:57:22.379336,treatment,Silver,27,2024-10-05 22:34:29.547653
941feb8c-8922-45f5-beae-388773bbe412,Danny Morgan,2024-06-25 05:20:30.829706,test,Gold,41,2024-09-02 10:12:42.537690
ff475441-87b4-437a-b4a6-d666669eaaaf,Benjamin Welch,2023-10-06 17:05:35.862195,test,Gold,38,2025-02-27 16:24:01.190972
e13bd8bb-0a22-4c53-9b94-1ceb8ace3121,,2025-01-09 10:06:39.764124,test,Bronze,11,2025-01-16 16:28:37.035214
fb7209da-cc0b-44c0-a8c0-b32696ceff3f,Michael Lewis,2023-07-28 03:01:25.159775,test,Silver,19,2025-03-12 01:57:55.480242
674778b1-8b86-4c2c-912e-261f8be6748c,Kaitlyn Mueller,2024-12-02 08:02:44.158629,test,Silver,24,2024-12-29 02:39:15.538067
1422bfb9-df44-4667-8a30-d264ac882524,,2023-07-02 06:44:25.229768,test,,3,2024-04-11 15:13:05.775835
a78cb1ef-aa56-4c69-84dd-c5830a0c73f9,John Daniel,2024-08-26 08:29:59.501389,test,,2,2025-04-18 04:14:21.280500
ae22c445-93d8-4ef2-8369-449da19507d8,James Morgan,2025-01-10 21:49:30.496271,treatment,Silver,13,2025-02-05 00:50:21.105745
468df8d2-0edb-48f1-91ec-76a8f81ef90a,Jerry Henderson,2023-11-11 22:42:56.188673,treatment,Bronze,13,2024-03-22 14:19:03.140575
f36085e1-d081-4d59-89f8-374d43eed9a5,Jessica Callahan,2024-05-28 11:26:06.198195,treatment,Silver,9,2024-06-14 02:14:49.654319
d8adfac3-320d-49a0-b445-5deda473ac78,Dr. Tracy House DVM,2023-08-21 23:04:56.622389,treatment,Gold,47,2024-06-12 17:07:55.583482
12a27a7c-71da-4764-ac49-9c82c2cef0e8,James Brown,2024-01-24 07:22:14.333302,treatment,Bronze,5,2025-04-15 06:57:54.737288
c803ac73-40d0-427c-a5d4-4a050ba1a062,Richard Gibson,2024-02-25 11:21:36.122831,treatment,Gold,17,2025-04-03 23:09:36.166863
9cc079f8-b938-496c-8519-3d2e29b1d5a2,,2025-04-18 14:40:07.041463,test,Gold,47,2025-04-20 11:16:02.910949
a7268628-3024-4d55-9b76-c30dc4ee348d,Brittney Phillips,2025-03-30 02:20:36.382119,treatment,Bronze,13,2025-04-12 08:03:56.568302
34a4491c-b9b1-4c92-a062-841494631b04,Nicole Brown,2024-06-22 04:55:01.250914,test,,5,2024-11-21 22:41:44.437938
e7db71f2-b086-4c21-9bc4-6598d29c1a86,Brooke Yu,2023-06-19 23:52:17.718341,test,Gold,16,2023-10-22 20:40:43.656644
596366bb-78b8-496e-81bc-0ebf9ec93c88,,2024-06-30 03:15:56.529951,treatment,Bronze,13,2025-01-15 21:02:18.777516
b2c79353-6f7e-450d-8b38-48174c73a8e3,Bryan Zamora,2023-10-19 07:55:30.458628,test,Bronze,5,2024-09-10 16:29:24.591068
97f73320-5d55-4f9b-aa5c-13396ef38983,,2024-07-17 22:05:42.609663,test,Bronze,6,2024-11-11 11:30:27.896060
a8a260dd-19f2-4c55-a903-031692f0146a,Kelly Donovan,2023-09-18 16:22:12.263560,test,Bronze,6,2024-11-07 23:38:11.552533
1675f258-2f71-40ce-b2d4-268a8240f2bd,James Powers,2023-11-27 14:48:02.295961,test,,0,
32199499-c42d-4a86-ac3f-30e75f51c2b4,Paul Jones,2024-03-22 05:50:15.499794,test,Bronze,8,2025-04-21 08:14:15.133413
c48f6e83-0c19-4870-84be-82191b8495c3,Angel Lewis MD,2025-03-04 04:51:04.621743,treatment,Gold,18,2025-04-16 03:31:09.140920
5319fb30-f979-47ad-9b63-aba360239375,Jaclyn Moore,2024-12-21 12:12:43.849801,test,Bronze,10,2025-03-16 22:49:21.000307
1e0c72ff-ecd6-4aa9-a1bc-a1dc0c98e5f5,,2024-07-12 07:02:12.540167,treatment,Bronze,14,2025-04-18 08:00:00.263549
df5c45af-2d51-4373-b600-37916e457d79,Aimee Montoya,2023-11-27 03:57:37.494368,treatment,Silver,13,2024-10-31 16:20:03.767148
2381dae0-c8fa-468c-8712-67afb72c1a97,,2025-03-08 08:15:57.512813,test,,2,2025-03-14 08:02:40.613851
5edc3622-a2e4-49d1-9109-b0d0a3c36184,Brian Tran,2023-11-07 10:04:26.272181,treatment,Bronze,3,2024-09-23 21:47:32.624157
8cc47ba4-0384-4ce6-acbb-fde40f973a4d,Christina Walters,2023-11-01 07:26:05.584002,treatment,Silver,10,2024-07-20 23:11:46.494988
0fcee6dd-996c-44fd-9c4f-275ca74fce9b,Sarah Davis,2024-02-25 21:19:22.661579,test,,5,2024-06-21 09:20:25.899941
bbfd2edb-56f7-41f4-820f-e1f050cbc110,,2023-04-25 01:33:25.748962,treatment,Silver,16,2024-11-06 08:30:55.430984
cc937e76-5b0d-42c3-b927-07b86f57c3ed,,2024-07-30 20:57:42.299136,test,Bronze,5,2024-10-08 07:30:32.543968
ab22e15c-3053-41bd-9e4d-debb24dc813c,,2024-10-14 22:18:01.179552,test,Silver,30,2025-01-27 05:03:44.128639
61aefdb9-1939-4ae9-ad91-9959fe38fa4c,Adam Jones,2025-01-26 13:35:35.626570,test,Silver,17,2025-04-13 18:02:04.080255
e3ff97e9-f403-4509-927d-f8fe7b4b2ef3,,2024-05-25 00:25:22.441245,treatment,Bronze,10,2025-02-26 01:13:05.548444
5b533e8f-2248-45ab-bc90-245c72e92ee6,Brittany Anderson,2023-12-03 15:37:59.737082,treatment,Silver,17,2025-03-01 21:50:08.813488
a9dca391-f89f-4252-a90a-659aea53b7e5,,2024-11-24 00:37:47.798127,treatment,Bronze,13,2025-04-01 05:01:37.224716
0757e755-e7ff-494d-bc0b-5a0e57450279,Christine Wright,2023-07-06 13:31:27.363161,treatment,Silver,10,2024-11-28 20:16:41.090126
2a1b23fa-50eb-4a49-890a-7bcaf3670b8d,Jennifer Oliver,2023-08-13 08:57:02.791336,treatment,Gold,21,2025-03-09 15:36:52.857475
6c561b67-6479-49df-8121-2cd666ced4b1,Vanessa Cochran,2025-01-25 07:57:41.953365,treatment,Bronze,14,2025-01-27 11:29:27.982028
d0303029-a1d0-49d8-986e-33a496ee5b6b,,2024-10-11 12:29:26.164309,test,Bronze,9,2024-12-14 10:39:51.543467
7d2cce55-2252-4556-b366-9b6a3f1c6fc0,Rebekah Shields,2024-12-04 17:03:49.290637,test,Gold,36,2025-01-10 14:17:07.899327
f724e084-d056-493b-ad68-9c7b118e7307,Ashley Brennan,2025-01-08 15:50:26.127696,test,Gold,20,2025-01-31 15:16:13.748402
ba270d1d-33ea-47a7-9ab1-c316bb7797cd,Julia Torres,2024-11-23 11:00:40.891110,treatment,Silver,15,2024-12-27 11:36:07.326497
83940f4f-807a-4da9-b3ad-7dc6c282c3d8,Corey Murphy,2025-01-12 20:49:00.204946,test,Bronze,6,2025-04-18 16:10:29.421347
afc62093-37bb-448a-9081-fa8cf1635c4b,,2023-11-12 08:52:52.412652,test,Silver,10,2024-10-15 03:56:58.550301
39d11b13-1720-44df-a39e-1f3f96ace3bc,William Herrera,2025-03-08 13:39:01.957244,treatment,,3,2025-03-13 16:31:11.543313
3ca5623d-3c2f-46fd-a3a1-18d440ecb00b,Cassandra Estes,2023-11-02 09:25:28.838035,test,Silver,26,2023-12-30 13:22:38.325848
7ce29f56-3cfb-4ce8-8e6b-6eecf0fda2a1,Nicholas Edwards,2024-07-08 07:09:30.489289,test,Gold,37,2024-12-02 09:53:56.821918
3e3cfe16-6696-43cc-b776-97c04aa8aa41,Kenneth Scott,2024-09-21 05:28:45.165280,treatment,Gold,15,2024-09-21 14:06:49.969791
6c43490e-5627-4990-94ad-599c1d443f26,Kimberly Ball,2024-10-15 10:54:30.463120,test,Gold,39,2025-02-18 20:50:12.181567
a2bbca0a-4946-4d44-aa32-9faa89179eae,Benjamin Beck,2023-12-19 16:18:15.729173,test,,4,2024-05-21 06:29:37.257641
7d01fe8c-e752-4136-b367-8f8b97011a37,Michelle Evans,2023-12-04 09:37:33.868335,test,Silver,23,2024-06-27 10:58:26.391889
4f46518b-0b06-45f1-8c36-bcad39db68a2,Edward Martinez,2024-02-23 14:27:32.914079,test,Silver,12,2025-03-27 16:59:00.518866
bfbff03b-a1d4-4d8c-9bff-5ab354d956c9,Stephanie Gilbert,2023-11-28 07:30:16.481797,test,,4,2024-09-03 02:42:01.464134
8f9b5938-d0c2-4b8b-9c94-bf37a90bb18a,Dustin Jordan,2024-06-19 03:24:38.248420,test,Silver,14,2025-01-06 00:20:19.935902
85bc697a-01a6-425f-b6d2-f73151060794,Jeremy Lewis,2024-04-02 03:04:08.095175,test,Bronze,12,2025-03-14 22:14:13.435824
0b29ac4e-b40c-4999-94a6-acb2981e9440,Carolyn Miller,2024-05-03 00:03:10.995128,treatment,Gold,45,2024-12-13 00:47:55.211188
56806b20-1e15-466d-adb9-bc3fd02ff5ae,Robert Potter,2024-08-25 22:31:35.715431,treatment,Bronze,10,2024-10-18 15:09:09.842791
f2df911a-9116-48ae-b4a3-e0a80cb2a961,Alexander Sanchez,2024-04-03 13:15:29.357036,test,Gold,16,2025-02-23 08:15:12.680533
fff42892-1841-413b-9e43-0de0efc8bffb,Jason Soto,2023-09-11 12:08:27.869785,treatment,,3,2024-10-25 06:35:42.839896
2902e00c-8648-40cc-a113-9ce6a7875389,David Douglas Jr.,2024-10-22 00:56:40.468055,treatment,Silver,26,2025-03-11 02:56:38.658774
bae46ae5-bdff-4341-822d-2ed40457dd22,,2023-07-09 08:01:59.357219,treatment,Bronze,10,2024-04-11 19:02:52.996916
ecd806c9-9d4c-48bf-845e-0a588fe71693,,2023-08-28 22:57:24.161058,test,Gold,45,2025-03-27 15:36:39.342869
1cc72277-d365-4838-9296-4efa0999e287,Amber Wright,2025-01-01 04:01:17.305161,test,Bronze,9,2025-02-20 17:42:18.722637
eec8bd8c-e2a9-4e1d-ad8d-e1837d281de6,Mary Travis,2024-06-30 10:34:48.229055,test,Bronze,12,2025-04-07 04:34:47.848970
051bd5ef-c87d-4cbd-9b72-56ff3275bc3d,Lisa Ball,2024-04-25 04:55:27.571856,test,Silver,28,2025-02-19 15:55:07.596402
7a7632d5-6863-473a-8d2b-5cb26ad6cdc7,Stephanie Manning,2024-04-03 05:09:36.777548,treatment,Gold,39,2024-07-11 16:15:03.151535
71cda8ee-6db0-44dc-bc22-ce8c039c42c0,,2023-10-20 01:53:03.250603,test,Gold,23,2024-10-04 17:07:20.425490
9b705198-8b60-474a-80be-67e0394ab2cc,Kelly Sims,2023-11-09 01:30:23.277302,treatment,Bronze,6,2023-12-20 02:53:38.130416
095ec7a4-ac91-4890-9d0f-a2e26a27b837,Devon Flores,2024-05-21 01:05:07.171656,treatment,Silver,12,2024-07-06 12:38:00.654018
07eb6a27-78cc-45ab-986c-d82e5dd0e4f3,Michael Mccarthy,2023-06-08 09:25:30.771122,treatment,Bronze,5,2024-03-13 00:17:33.801856
9bf5feed-1fde-4262-9157-2ec9f5c504c2,Jennifer Clark,2024-02-23 09:09:01.144975,treatment,Bronze,11,2025-03-12 15:31:34.011227
9b7ed07f-6ee0-4141-911d-c13c2c9497d9,Melissa Gates,2024-11-01 17:25:56.843180,treatment,Silver,19,2025-01-05 20:36:06.575682
e20597f8-ef78-46dd-9129-c820c9f63c0b,,2023-04-26 18:45:47.306188,treatment,Silver,21,2024-01-07 05:16:09.154014
6be1e22d-2913-4a33-86bf-82278ae6dc48,Sarah Ashley,2024-02-22 13:28:32.988661,test,Silver,23,2025-01-04 19:15:06.331084
37bcc69a-b357-433b-abc8-a5f4431f0d87,Lindsey Walker,2023-09-29 18:11:26.192874,test,Silver,28,2024-06-04 06:29:10.154133
1b2f49d6-3a54-4112-8bf6-0c55f2364767,George Shelton,2024-02-11 19:40:53.776752,treatment,Bronze,15,2024-04-23 15:16:55.958403
3708593b-c42b-4a30-83cf-ce130a608c37,,2024-03-28 21:27:20.096649,treatment,,1,2024-05-17 13:10:30.154831
08cc320c-e483-43dd-9fdb-a49bd47d8abf,Alyssa Long,2024-06-07 18:02:42.617659,treatment,Silver,25,2024-06-16 09:01:11.377992
cb0cfd99-cacf-4f3d-9d1f-7675880c6739,,2024-08-03 23:46:26.912647,treatment,Bronze,3,2024-09-08 09:40:44.541128
6100a6a3-8a2b-458a-ae27-ac076edef97e,Anthony Gray,2023-09-24 02:07:20.421093,test,Bronze,12,2024-03-30 07:23:26.282919
4789537b-0284-4649-a50c-8b2ffc867173,Jamie Walton,2024-12-20 04:17:35.077267,treatment,Gold,43,2025-01-20 03:38:31.550246
9b606e19-f72c-47a9-ac19-2e2a8b608450,Alec Ryan,2025-04-21 21:17:59.737197,treatment,Silver,8,2025-04-21 21:51:55.069280
0e869e16-2b44-4331-a9ba-0bfff9d99fa4,,2024-08-09 09:24:36.025291,test,,4,2025-02-25 01:06:26.881132
5f2b0d04-7204-4587-920e-0ab47236ec86,Nicole Herring,2023-09-15 02:29:29.844189,test,Gold,41,2023-09-27 00:33:14.263856
f1ee8605-8d9c-4d4b-aedb-8a87477c068d,Cameron Caldwell,2024-06-07 10:38:23.417992,test,Silver,20,2024-08-15 20:49:15.079235
592998be-c8dc-4fd4-ba66-9e81bb91a63f,Pamela Jackson,2024-07-09 01:22:02.702755,test,Gold,42,2025-02-08 15:14:44.362526
820ec724-0e77-4e88-b837-2c6c3f5ee5d5,Robert Oconnell,2023-07-10 10:31:52.409750,treatment,Bronze,5,2023-07-27 04:02:55.864501
504693e3-6a84-4593-bc89-3709d98214c5,Michael Rubio,2024-02-06 05:21:03.988335,treatment,Silver,24,2024-12-17 08:27:55.267020
35683d3c-0fee-4425-a208-233a9ee44c88,Michael Burton,2023-07-05 21:52:50.188028,treatment,Silver,19,2024-11-23 16:37:09.625878
9f6fbd8e-2852-431a-8296-6197f02a133e,,2025-01-02 14:19:43.537020,treatment,Silver,23,2025-03-09 06:09:40.548360
d5de9d01-4785-4fb8-863a-2788181fa982,William Patton,2024-01-01 02:24:20.120089,treatment,Gold,49,2024-07-23 08:58:55.670861
63605271-2880-4613-86a9-068dc7486471,Jonathan Peterson,2025-01-02 01:44:52.546520,test,Gold,28,2025-04-02 10:22:21.381818
40611375-faec-4354-bec1-fbf33a18f77f,Tyler Reid,2024-12-17 19:53:40.669149,treatment,Bronze,5,2025-03-16 07:57:26.748143
1e94c7ad-d521-4182-b991-b1d75b34e78d,,2024-03-05 14:08:50.732802,test,Silver,23,2025-01-02 04:20:58.394266
af477ff9-56d4-4aa8-b205-79536f2a3ace,,2025-03-27 17:37:04.303230,test,Bronze,10,2025-04-03 13:05:53.257743
1a7291dc-5336-4bcc-a7be-740a7e4db26f,Kimberly Webb,2024-03-05 15:40:43.568115,treatment,Silver,25,2025-01-01 01:21:23.102364
0ebf6c5a-8b2a-4a31-be62-29850f1f70c4,Samuel Rivas,2023-06-24 18:43:41.389876,test,Silver,29,2025-02-01 23:34:19.648389
d8d4f89a-8aa8-4f6a-867d-4b6156a883fe,John Bishop,2024-01-24 07:39:15.834399,test,Silver,20,2024-02-06 08:07:06.788001
0fec377a-975a-4ede-aff3-e563ec897855,Catherine Lewis,2024-11-25 06:36:35.113364,test,,4,2025-01-14 12:52:29.150032
3d735fbc-06bf-475d-8df0-f15eb120c923,,2025-01-24 12:44:35.393511,test,Bronze,11,2025-03-26 19:56:51.765802
5be45992-8c85-47f0-8b70-a3987f6d528f,Adam Vaughan,2023-06-24 00:19:16.277375,treatment,Bronze,15,2024-10-16 23:32:46.395981
9b19ce62-e5c1-4d4c-8572-a9a0ad77086d,Peter Vaughn DDS,2024-04-15 00:14:23.588485,test,Bronze,4,2025-02-03 22:29:40.610018
e63929f9-9cb1-4ac7-a3f3-514b41e95b03,,2023-06-29 10:45:45.034739,test,Bronze,11,2023-11-23 06:10:45.284261
9016fbd1-8479-4bd7-928a-f7afb892ca31,,2024-09-08 19:28:34.255683,treatment,Bronze,4,2024-11-16 18:02:30.975000
0103a400-1a51-433d-a929-9c01ae332103,Kara Schmidt,2024-02-27 07:07:27.969064,test,Gold,20,2025-01-05 08:01:49.735309
75f20da8-5621-470e-ad78-98abe0eef3b9,Michael Nelson,2023-10-23 02:53:03.878605,treatment,Bronze,5,2023-12-28 02:22:32.948132
c4e070a3-68d4-4858-a3f3-19174395489e,Bryan Herrera,2024-10-30 05:44:17.576866,treatment,,1,2024-12-01 09:39:38.391140
3aa1582a-2a6a-4ebf-99c2-1abf41033c25,John Hardy,2025-04-04 20:48:04.993733,test,Silver,8,2025-04-13 19:57:44.693831
fc78c54c-00c2-4997-89b0-7e7bebac3623,,2023-11-15 04:47:35.735180,treatment,Silver,24,2024-01-06 20:25:06.875864
dbc882f8-a888-4de0-a35a-f03bfab093f4,Darren White,2023-05-02 19:26:17.580661,test,Silver,14,2024-05-21 11:09:00.004480
0dbd9ea0-8c84-4c07-b43a-8b7a7a6454a7,William Tran,2024-09-12 22:10:58.099751,treatment,Bronze,13,2024-10-10 20:03:42.401927
23d789f9-b45e-406b-92c3-cbded0090dcb,Katherine Salas,2024-06-14 19:36:51.051588,treatment,,5,2024-11-07 20:44:33.921148
f6666834-6153-4825-b3dd-b0e1e5b04568,,2024-03-09 05:29:00.158031,test,Gold,37,2024-05-23 13:59:10.728518
4d089eb3-8ce1-444d-8514-5962e885d78d,Todd Woods,2024-12-13 00:19:57.760368,treatment,Bronze,5,2025-02-03 01:58:19.383418
59259880-9bd0-49ef-8c4f-5d25f022aa1d,,2023-06-15 14:10:07.978129,treatment,,1,2024-08-14 07:48:05.983833
70972f32-750d-4287-942e-fec329212a1f,Chase Hart,2023-11-30 10:05:39.069260,test,Silver,9,2025-04-18 20:41:15.380207
f77b0a62-c1dd-48cf-8186-55b8f11e954c,Phillip Obrien,2024-11-20 02:17:04.223579,treatment,Bronze,14,2024-12-24 14:14:50.494379
2acfd802-d194-4bfa-8c47-09d8356673c7,Joanna Ramos,2025-01-09 19:25:29.778954,treatment,Bronze,15,2025-04-20 22:28:39.205123
841c550f-b310-4c7f-8a6b-0851af8f27c8,Marc Lynch,2024-10-14 02:17:10.659198,treatment,Silver,27,2025-04-12 00:06:13.616641
000d963c-977b-489c-84a7-c9a63c0c00a9,Daniel Guerrero,2023-08-15 04:50:43.465495,treatment,Silver,20,2023-11-30 05:28:26.970446
3a4f9a5b-191b-4605-a90a-65db78d71b15,Aaron Hayes,2024-06-29 05:48:31.236465,treatment,Silver,22,2024-09-23 15:53:50.055969
106f44b1-e14d-4976-bcb4-54fcdc60a0d7,Michael Warner,2024-03-19 03:15:18.406314,test,Gold,30,2024-12-18 06:40:13.140732
93bd56d2-c7ea-4fc2-b2fb-38e75afdbb68,Rachel Weber,2024-08-17 10:56:22.462001,test,Silver,10,2025-04-05 12:54:28.953580
88fed43f-41be-4046-91e1-104e9e5680c2,,2024-02-27 00:43:41.233327,treatment,,4,2024-10-12 16:55:47.873691
3abc248b-46d4-4efc-a86b-8669b2f9c225,Susan Serrano,2023-06-13 15:19:07.738924,test,Gold,42,2023-10-04 04:28:29.242604
e5dbcfac-57cb-4e9d-b84d-e6139eff0837,Paul Carroll,2023-11-19 07:10:41.283944,test,Bronze,7,2024-01-22 22:05:03.379265
67808169-0a01-439e-9c4b-4366906fd705,Melissa Bender,2024-04-22 01:26:01.737311,test,Silver,21,2024-10-19 05:50:11.277398
d8a868d6-d2c4-4872-8117-b5b344dd578d,Andrew Reynolds,2023-12-13 22:10:59.226280,test,Gold,36,2024-04-15 20:44:13.920883
508ea67a-264c-4670-8822-83a9241a76d3,Vernon Huff,2024-06-15 15:30:37.874177,treatment,,4,2025-04-06 16:24:04.626932
8dc8aaa5-d090-498d-bd98-bba32a8e767d,Miss Debra Williams PhD,2024-03-31 03:59:25.534269,treatment,Gold,49,2024-12-08 03:54:15.720943
6a1bf519-7529-43d0-8116-abd657c4fa3a,Catherine Richards,2024-07-29 04:08:12.617293,test,Silver,29,2024-12-07 08:32:54.199132
f46be969-15ab-4893-b3e3-a61afbc367ce,Gregory Cook,2024-08-23 23:51:17.489427,treatment,Bronze,4,2025-03-18 16:10:39.446983
4c9687fd-f963-48e9-9c83-3ccda7bf2c35,Michael Roberts,2025-03-12 22:04:30.993804,test,Silver,14,2025-04-14 11:46:56.880442
844e4d35-f8ec-40b3-983d-318653827813,Jordan Edwards,2023-12-14 14:52:36.058464,treatment,Bronze,14,2025-04-07 05:11:10.551932
65d2be7f-7cea-4102-b274-618f6af4e3e6,Jose Travis,2024-08-14 21:10:55.387812,test,Bronze,11,2024-12-28 13:41:03.507331
33d212ed-a9ce-4308-bd70-605802eff8a0,Cody Cox,2024-10-26 00:59:38.823078,test,Bronze,3,2025-02-14 07:26:25.444396
fc3072bb-d61c-492b-bff1-32135ae642fa,Christina Dunn,2025-02-28 02:54:33.816719,test,Gold,31,2025-03-23 06:26:35.865573
6f42c996-4a80-472d-ba96-b00935afa3cb,Barbara Dudley,2024-07-10 05:50:29.911971,test,Silver,16,2024-09-16 14:43:18.848770
84dc6850-61e0-4be2-a0cc-8cfbfcea01f8,Juan Tran,2023-06-29 13:29:41.315224,test,Bronze,4,2025-04-16 19:49:27.543700
1f341044-63d2-4d86-b32b-925d08bb75f5,Julia Wilson,2024-12-20 08:07:49.897655,treatment,Bronze,12,2025-02-19 10:44:33.051382
8f34b419-0813-455b-a636-7042fa0d26af,Katrina Hill,2024-12-22 05:22:31.366884,test,Bronze,4,2025-04-19 13:40:25.878402
9ca428ae-3a6f-44d6-897b-c96df0417c16,Juan Reyes,2025-02-23 21:08:44.668397,test,Silver,8,2025-03-24 21:19:07.762119
023c05f1-5ea2-4676-8fce-ebf69a36bf0d,Sharon Hill,2024-11-19 13:24:18.047680,test,Silver,23,2025-01-22 05:01:12.099050
6ee682f8-7b8e-4743-8b0a-873f316add4c,Katie Hoover,2023-11-15 01:59:35.251929,test,Silver,30,2024-04-19 11:42:45.718523
43c6b415-107f-4d91-a702-d81b71d36d27,,2024-06-24 05:18:22.509330,test,Gold,50,2025-04-21 14:58:01.052310
1283736f-f306-40d2-ae4d-2bd9cbe6c6c6,,2024-04-14 03:32:07.308725,treatment,Bronze,13,2024-06-08 13:04:30.125498
98664cf3-3c5d-4dd2-ac68-c9e843ec108e,,2024-05-19 21:31:55.210657,treatment,Silver,13,2024-09-13 05:22:19.192965
33aaa767-5d18-4cf0-9437-c235522580db,Kimberly Gibson,2023-12-13 12:38:30.783915,treatment,Bronze,10,2024-03-15 23:46:12.404052
3b49bf9a-9427-4969-b3b7-356a2ef7f63a,Laura Hall,2024-11-08 23:52:09.513932,treatment,Silver,29,2024-11-16 03:37:23.971759
